,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7230 ,11235 ,2 ,0 ,1643 ,82 ,1 ,11 ,705000 
7231 ,11235 ,2 ,0 ,2000 ,67 ,1 ,13 ,720000 
7232 ,11235 ,2 ,0 ,1809 ,87 ,1 ,13 ,760000 
7233 ,11223 ,3 ,0 ,2680 ,52 ,1 ,15 ,1250000 
7234 ,11223 ,3 ,0 ,3320 ,92 ,1 ,15 ,1200000 
7235 ,11223 ,3 ,0 ,3176 ,57 ,1 ,15 ,1265000 
7236 ,11223 ,3 ,0 ,3600 ,72 ,1 ,15 ,1300000 
7237 ,11223 ,3 ,0 ,2720 ,87 ,1 ,15 ,405700 
7238 ,11223 ,3 ,0 ,1908 ,57 ,1 ,15 ,1200000 
7239 ,11223 ,3 ,0 ,3020 ,82 ,1 ,15 ,1200000 
7240 ,11223 ,3 ,0 ,2972 ,82 ,1 ,15 ,1500000 
7241 ,11223 ,3 ,0 ,3715 ,82 ,1 ,15 ,1550000 
7242 ,11223 ,3 ,0 ,1870 ,87 ,1 ,15 ,1307000 
7243 ,11223 ,3 ,0 ,3506 ,57 ,1 ,15 ,1300000 
7244 ,11223 ,3 ,0 ,2952 ,77 ,1 ,15 ,980000 
7245 ,11223 ,3 ,0 ,2480 ,87 ,1 ,15 ,999999 
7246 ,11223 ,3 ,0 ,2340 ,72 ,1 ,15 ,350000 
7247 ,11235 ,3 ,0 ,2100 ,62 ,1 ,15 ,715000 
7248 ,11235 ,3 ,0 ,2354 ,92 ,1 ,15 ,790000 
7249 ,11223 ,12 ,0 ,10440 ,86 ,2 ,16 ,1900000 
7250 ,11223 ,4 ,0 ,3120 ,92 ,2 ,18 ,1125000 
7251 ,11223 ,5 ,0 ,5040 ,86 ,2 ,17 ,1400000 
7252 ,11235 ,60 ,0 ,66114 ,64 ,2 ,30 ,254562 
7253 ,11223 ,0 ,1 ,3320 ,86 ,4 ,90 ,1825000 
7254 ,11223 ,0 ,1 ,3128 ,86 ,4 ,91 ,1750000 
7255 ,11223 ,0 ,1 ,990 ,86 ,4 ,90 ,700000 
7256 ,11223 ,0 ,1 ,1550 ,86 ,4 ,47 ,600000 
7257 ,11223 ,0 ,1 ,1680 ,86 ,4 ,57 ,1900000 
7258 ,11223 ,0 ,1 ,1950 ,86 ,4 ,49 ,840000 
7259 ,11234 ,1 ,0 ,868 ,97 ,1 ,10 ,404000 
7260 ,11234 ,1 ,0 ,944 ,92 ,1 ,6 ,375000 
7261 ,11234 ,1 ,0 ,952 ,92 ,1 ,10 ,247691 
7262 ,11234 ,1 ,0 ,988 ,92 ,1 ,10 ,340001 
7263 ,11234 ,1 ,0 ,1024 ,92 ,1 ,10 ,430000 
7264 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,450000 
7265 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,420000 
7266 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,430000 
7267 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,430000 
7268 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,419000 
7269 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,485000 
7270 ,11234 ,1 ,0 ,868 ,92 ,1 ,10 ,264500 
7271 ,11234 ,1 ,0 ,1036 ,92 ,1 ,10 ,403000 
7272 ,11234 ,1 ,0 ,1008 ,92 ,1 ,10 ,391000 
7273 ,11234 ,1 ,0 ,1008 ,92 ,1 ,10 ,455000 
7274 ,11234 ,1 ,0 ,952 ,97 ,1 ,10 ,425000 
7275 ,11234 ,1 ,0 ,2100 ,67 ,1 ,3 ,585000 
7276 ,11234 ,1 ,0 ,826 ,92 ,1 ,2 ,428000 
7277 ,11234 ,1 ,0 ,1120 ,92 ,1 ,10 ,434000 
7278 ,11234 ,1 ,0 ,983 ,97 ,1 ,6 ,360000 
7279 ,11234 ,1 ,0 ,1296 ,57 ,1 ,6 ,366054 
7280 ,11234 ,1 ,0 ,1729 ,62 ,1 ,6 ,350000 
7281 ,11234 ,1 ,0 ,1952 ,97 ,1 ,2 ,650000 
7282 ,11234 ,1 ,0 ,1600 ,62 ,1 ,6 ,625172 
